user_id,age_group,city_tier,income_band,acquisition_channel,device_os,registration_date,activation_date,first_txn_date,total_txns,successful_txns,failed_txns,total_amount_vnd,avg_amount_vnd,bill_payment,card_payment,loan_viewed,qr_payment,savings_opened,transfer_initiated,n_features,has_bill_or_savings,is_active_d30,is_active_d60,churn_flag,activated,days_to_first_txn,first_txn_bucket,feature_bucket,failed_txn_bucket,registration_month
U00001,25-34,Tier 1,Mid,Paid Ads,iOS,2024-03-22,2024-03-23 05:18:00,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,True,1,,No transaction,0 features,0 failed,2024-03
U00002,55+,Tier 2,Mid,Paid Ads,Android,2024-01-15,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,True,0,,No transaction,0 features,0 failed,2024-01
U00003,35-44,Tier 3,Low,Paid Ads,Android,2024-01-04,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,True,0,,No transaction,0 features,0 failed,2024-01
U00004,25-34,Tier 1,Mid,Organic,Android,2024-04-04,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,True,0,,No transaction,0 features,0 failed,2024-04
U00005,18-24,Tier 3,Mid,Organic,Android,2024-02-05,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,True,0,,No transaction,0 features,0 failed,2024-02
U00006,18-24,Tier 1,High,Organic,iOS,2024-02-01,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,True,0,,No transaction,0 features,0 failed,2024-02
U00007,18-24,Tier 2,Low,Referral,iOS,2024-01-29,2024-01-29 23:06:00,2024-02-03 19:00:00,3.0,3.0,0.0,2875000.0,958333.3333333334,0,0,0,0,0,0,0,0,True,True,False,1,4.0,Within 7 days,0 features,0 failed,2024-01
U00008,45-54,Tier 3,Mid,Paid Ads,Android,2024-01-18,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,True,0,,No transaction,0 features,0 failed,2024-01
U00009,25-34,Tier 1,Mid,Paid Ads,iOS,2024-04-04,2024-04-05 05:13:00,2024-04-07 10:00:00,8.0,8.0,0.0,35902000.0,4487750.0,0,1,1,0,0,0,2,0,False,False,True,1,2.0,Within 7 days,2+ features,0 failed,2024-04
U00010,35-44,Tier 1,Mid,Organic,Android,2024-01-14,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,False,False,True,0,,No transaction,0 features,0 failed,2024-01
