user_id,age_group,city_tier,income_band,acquisition_channel,device_os,registration_date
U00001,25-34,Tier 1,Mid,Paid Ads,iOS,2024-03-22
U00002,55+,Tier 2,Mid,Paid Ads,Android,2024-01-15
U00003,35-44,Tier 3,Low,Paid Ads,Android,2024-01-04
U00004,25-34,Tier 1,Mid,Organic,Android,2024-04-04
U00005,18-24,Tier 3,Mid,Organic,Android,2024-02-05
U00006,18-24,Tier 1,High,Organic,iOS,2024-02-01
U00007,18-24,Tier 2,Low,Referral,iOS,2024-01-29
U00008,45-54,Tier 3,Mid,Paid Ads,Android,2024-01-18
U00009,25-34,Tier 1,Mid,Paid Ads,iOS,2024-04-04
U00010,35-44,Tier 1,Mid,Organic,Android,2024-01-14
U00011,18-24,Tier 1,High,Organic,Android,2024-03-27
U00012,55+,Tier 2,Mid,Organic,Android,2024-04-04
U00013,35-44,Tier 2,High,Branch,Android,2024-04-24
U00014,18-24,Tier 2,Mid,Paid Ads,Android,2024-03-10
U00015,18-24,Tier 1,Mid,Partnership,Android,2024-01-12
U00016,18-24,Tier 1,Low,Partnership,iOS,2024-03-16
U00017,25-34,Tier 1,Low,Paid Ads,iOS,2024-02-24
U00018,25-34,Tier 1,Low,Paid Ads,iOS,2024-01-05
U00019,25-34,Tier 2,Low,Organic,Android,2024-01-04
U00020,18-24,Tier 3,Low,Paid Ads,Android,2024-01-12
U00021,25-34,Tier 2,Low,Referral,Android,2024-01-28
U00022,18-24,Tier 1,Low,Partnership,Android,2024-01-30
U00023,18-24,Tier 3,High,Organic,Android,2024-03-05
U00024,25-34,Tier 2,Low,Partnership,Android,2024-03-18
U00025,25-34,Tier 3,Mid,Organic,Android,2024-01-04
U00026,35-44,Tier 2,Low,Partnership,Android,2024-03-12
U00027,18-24,Tier 1,High,Referral,Android,2024-01-26
U00028,25-34,Tier 1,High,Paid Ads,Android,2024-04-01
U00029,25-34,Tier 2,Mid,Paid Ads,Android,2024-03-24
U00030,18-24,Tier 1,Mid,Referral,Android,2024-03-30
U00031,25-34,Tier 1,Low,Paid Ads,iOS,2024-03-10
U00032,18-24,Tier 2,High,Branch,Android,2024-02-23
U00033,18-24,Tier 2,High,Organic,iOS,2024-01-29
U00034,45-54,Tier 2,High,Branch,Android,2024-02-27
U00035,55+,Tier 1,Mid,Paid Ads,Android,2024-03-16
U00036,35-44,Tier 1,Mid,Partnership,iOS,2024-02-05
U00037,25-34,Tier 2,High,Referral,Android,2024-04-13
U00038,18-24,Tier 3,Low,Paid Ads,Android,2024-04-21
U00039,35-44,Tier 2,Mid,Partnership,iOS,2024-01-01
U00040,25-34,Tier 3,Low,Referral,Android,2024-04-07
